City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,myaydo,19.3667,95.2167,29.71,76,84,3.4,MM,2024-09-15 04:30:07
278,dunedin,-45.8742,170.5036,7.11,97,100,2.07,NZ,2024-09-15 04:30:08
279,urangan,-25.3,152.9,22.23,53,1,5.09,AU,2024-09-15 04:30:09
280,alice springs,-23.7,133.8833,24.75,20,1,7.2,AU,2024-09-15 04:30:10
281,sena madureira,-9.0656,-68.6569,27.33,39,61,0.43,BR,2024-09-15 04:30:11
282,santa elena de uairen,4.6167,-61.1333,19.48,87,56,0.37,VE,2024-09-15 04:30:12
283,chonchi,-42.6128,-73.8092,5.07,96,86,1.37,CL,2024-09-15 04:30:13
284,huazhou,21.6333,110.5833,31.29,66,99,1.09,CN,2024-09-15 04:30:15
285,mlimba,-8.8,35.8167,23.89,59,29,2.52,TZ,2024-09-15 04:30:16
286,hilo,19.7297,-155.09,25.85,80,0,2.06,US,2024-09-15 04:30:18
287,vilyuchinsk,52.9306,158.4028,16.15,52,74,5.16,RU,2024-09-15 04:30:19
288,mount gambier,-37.8333,140.7667,11.95,53,6,4.4,AU,2024-09-15 04:30:10
289,hinton,53.4001,-117.5857,9.23,94,92,1.77,CA,2024-09-15 04:30:21
290,hamilton,39.1834,-84.5333,24.12,63,0,3.09,US,2024-09-15 04:29:05
291,concepcion del uruguay,-32.4825,-58.2372,8.32,73,0,0.45,AR,2024-09-15 04:30:23
292,souillac,-20.5167,57.5167,20.21,73,40,5.14,MU,2024-09-15 04:30:25
293,scarborough,54.2797,-0.4044,13.21,81,66,1.79,GB,2024-09-15 04:30:26
294,siasi,5.5462,120.8145,27.86,80,91,8.88,PH,2024-09-15 04:30:27
295,i-n-salah,27.1935,2.4607,31.9,15,0,2.98,DZ,2024-09-15 04:30:28
